ad_id	site_id	frequency	total_users
logo	realtor	21720	1563
standarddisplay	adcolony	8208	7
zillow_custom_1x1	zillow	2818	349
edmunds_custom_1x1	edmunds	1778	159
bonapp_highimpactcrown_1920x520	bonappetit	1582	114
video	clearstream	1568	160
dynamiccriteo	criteo	1528	147
kidsactivities	evite	1136	116
creative	bustlemobile	856	100
homepage1x1nonsurveyable	amazonproper	792	101
homes_custom_1x1	homes	750	60
728x90	specificmedia1	682	51
native3	brightrollexchange	628	66
halloweenforkids	evite	612	63
160x600	specificmedia1	520	49
970x250_billboard2	Globo	494	71
-	aol	466	57
adarajivox	adaramedia	442	64
300x250	aap	416	50
300x250	amazonproper	396	54
92092795	N9724.288332ACCUEN	370	48
video	specificmedia1	364	25
92060577	N9724.288332ACCUEN	330	35
displaysequential	clearstream	324	30
creative	thebump_mobile	304	25
1x1	saymedia	288	38
1988574	7704	284	27
300x100_ign_rosfeaturedunit_x1x	ign	280	28
300x250	brandnet	278	37
creative	vibrantmedia	274	22
aap	aap	250	33
branding_2	R7.com	248	37
richmedia	adcolony	246	4
137725	dstillery	236	27
aapvideo	aap	236	35
display	google	228	27
dinnerseriespkg	evite	224	12
video	turn	224	30
standardvideo	clearstream	222	29
970x250	appnexus	216	29
300x250	specificmedia1	214	28
creative	babycentermobile	208	18
-	tremor	206	15
160x600	amazonproper	206	27
creative	radiumone	200	22
waiverwirespon	cbssports	194	24
branding_2	torcedores	186	18
808109	videology	184	18
728x90	brandnet	182	25
78134286	N5371.157906.TIMEINC.COM	164	11
970x250_billboard	globonoticias	164	23
babyfirstcatpack	evite	158	9
customcontent	wayfair	146	18
300x250	conversant	140	17
display_banners	google	138	13
78134974	N5371.157906.TIMEINC.COM	134	10
728x90_tortillakit_345g_fresh	aap	132	12
dstillerymedia6degreesjivox	dstillery	130	12
babyshowercatpack	evite	124	12
-	teads	122	7
728x90_october_amnettarget_contextual_stickya	amnetgroup	122	11
tracker	juicemobile	122	1
300x250	sojern	114	17
160x600	brandnet	114	16
video	conversant	114	11
omdp_highimpact	1accuen	110	16
210939	334-innovid	110	14
native	sheknows	110	6
xaxisjivox	xaxis	110	15
728x90	aap	108	15
parentsbundle	evite	106	12
728x90_fajitakit_500g_fresh	aap	106	9
728x90	conversant	104	15
-	gdnjapan	102	13
descknikond7500video1x1	desck	100	14
-	clearstream	94	5
300x250_october_amnettarget_ctx_pdp_medrec_bt	amnetgroup	94	10
2018833	7155	92	12
138212654749	meredith	92	6
unbrandedrecipes	allrecipes	88	13
2014831	7704	88	9
137750	dstillery	88	10
2018825	7704	86	7
300x250	amobee-mobile	86	8
video	resonateinsights	86	10
160x600	aap	84	12
1988585	4810	84	9
tremorSuperPreroll_7806656	tremor	84	3
300x250_btfdp_deaoct_ban_amazon_x1s	amazon	82	12
spavideo	quantcast	82	8
93563786	N4682.284566THETRADEDESK	82	11
210940	334-innovid	80	10
amp	sheknows	80	7
93508110	N4682.284566THETRADEDESK	78	10
video30_2	yahoo	78	10
creative	juicemobile	78	11
246004	1994-innovid	76	12
970x250	amazon	76	9
94197988	N572608.468584AMNETGROUP0	76	6
300x250	tripadvisor	74	10
1074482317	70120	72	4
contobox	specificmedia1	70	9
246005	1994-innovid	68	11
138212735738	meredith	68	4
92062128	N9724.288332ACCUEN	68	10
92060580	N9724.288332ACCUEN	66	8
2018825	7155	66	9
sale_text_logo_link	realtor	64	9
-	tapad	64	5
728x90	Uol	64	9
728x90	sojern	64	9
2006251	7704	64	9
300x600	Uol	62	4
92506046	N9724.2106WEATHERCHANNEL	60	7
138212201449	meredith	56	8
exponentialtribalfusionjivox	exponential	56	8
video	spotxchange	56	7
246002	1994-innovid	56	9
728x90leaderboard	fusionmediagroup	54	6
48035317	18556	54	6
137729	dstillery	54	7
970x150_maxiborad1	globoesporte	54	8
1074482319	70120	54	4
footballspon	cbssports	54	7
92062179	N9724.2550REALTOR.COM	54	6
